BLK_BLK 
swl_list 	Benchmarks 	App1 	App2 	AloneIPC1	AloneIPC2	IPC1	IPC2	SD1	SD2	WS	IT	FI	Stall warps-1	Stall warps-2	Stall Dramfull	Stall icnt2sh	App1-BW 	App2-BW	Waste-BW 	Idle-BW 	RBL-1 	RBL-2 	AVGEMFLat-1 	AVGEMFLat-2 	AVGEMRQLat-1 	AVGEMRQLat-2 	MPKI-1 	MPKI-2 	L2MR-1	L2MR-2	L2MR	
swl_01_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	112.4412 	112.3089 	0.324084831844598 	0.323703508777492 	0.64778834062209	224.7501 	1.00117800103108 	27801 	22671 	56554 	2424	0.254 	0.253666666666667 	0.371833333333333 	0.121166666666667 	2.349955 	2.065667 	339 	338 	55 	51 	1.59669623973142 	1.59616503600744 	0.999 	1.000 	0.999 	 	
swl_01_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	101.7745 	203.9642 	0.293340623530948 	0.587877961630771 	0.881218585161719	305.7387 	2.00407960736727 	21312 	37978 	77473 	4481	0.23 	0.46 	0.293 	0.0173333333333333 	2.075982 	2.302362 	396 	381 	91 	84 	1.59621100556048 	1.59743686030813 	1.000 	0.999 	0.999 	 	
swl_01_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	69.4547 	262.1436 	0.200186539901006 	0.755566149464231 	0.955752689365237	331.5983 	3.77431044983277 	10411 	636228 	5094663 	9756	0.157 	0.596333333333333 	0.239666666666667 	0.00766666666666667 	1.719430 	1.932331 	650 	659 	109 	112 	1.59621100556048 	2.02425734995265 	1.000 	1.000 	1.000 	 	
swl_01_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	59.4241 	284.5198 	0.171275737505617 	0.820060187364227 	0.991335924869844	343.9439 	4.78795303588948 	5961 	42344387 	13194255 	14723	0.134 	0.649 	0.209 	0.00783333333333333 	1.542404 	1.542108 	852 	1140 	116 	114 	1.59621100556048 	1.93166360339186 	1.000 	1.000 	1.000 	 	
swl_01_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	60.5701 	283.6182 	0.174578808064219 	0.817461541277285 	0.992040349341504	344.1883 	4.68247864870621 	5179 	57831276 	12704533 	15227	0.137 	0.645166666666667 	0.208166666666667 	0.01 	1.499042 	1.484520 	853 	1159 	114 	114 	1.59621100556048 	1.88347729635284 	1.000 	1.000 	1.000 	 	
swl_01_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	60.0127 	283.9120 	0.172972236049066 	0.818308349418749 	0.991280585467815	343.9247 	4.73086530017813 	4315 	59909828 	12977177 	14754	0.135 	0.646 	0.209 	0.0095 	1.486574 	1.479001 	857 	1171 	114 	114 	1.59621100556048 	1.90320717312992 	1.000 	1.000 	1.000 	 	
swl_01_20 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	60.2342 	284.2273 	0.173610656754765 	0.819217126161443 	0.992827782916208	344.4615 	4.71870299597239 	5090 	59906516 	12467730 	15785	0.136 	0.646666666666667 	0.208666666666667 	0.009 	1.492517 	1.482484 	848 	1161 	114 	114 	1.59621100556048 	1.89833184664394 	1.000 	1.000 	1.000 	 	
swl_01_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	59.9974 	285.0240 	0.172928137463075 	0.821513423119592 	0.994441560582666	345.0214 	4.75060585958725 	5125 	60498123 	12703360 	15127	0.135 	0.6485 	0.2075 	0.008 	1.517285 	1.483763 	857 	1164 	116 	113 	1.59621100556048 	1.91207546606998 	1.000 	1.000 	1.000 	 	
swl_02_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	202.9040 	101.1560 	0.584822189024986 	0.29155794539788 	0.876380134422866	304.06 	2.00585234687018 	40195 	24735 	105746 	4810	0.457 	0.228 	0.296 	0.0183333333333333 	2.412410 	2.301685 	385 	401 	87 	94 	1.5988363778117 	1.59616503600744 	0.999 	1.000 	0.999 	 	
swl_02_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	163.4563 	164.1795 	0.471123640617853 	0.47320809142761 	0.944331732045463	327.6358 	1.00442442414272 	21122 	19518 	528415 	3132	0.369 	0.37 	0.251166666666667 	0.0101666666666667 	2.119981 	2.129370 	525 	525 	114 	116 	1.59621100556048 	1.60141578050989 	1.000 	0.999 	0.999 	 	
swl_02_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	118.0978 	223.5340 	0.340388626715269 	0.644283223600871 	0.984671850316141	341.6318 	1.89278716453651 	37536 	726047 	5584316 	5537	0.267 	0.512 	0.218666666666667 	0.00266666666666667 	1.609039 	1.752395 	823 	868 	117 	118 	1.59621100556048 	3.06903462304149 	1.000 	1.000 	1.000 	 	
swl_02_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	109.6973 	240.0859 	0.316176197197348 	0.6919901115406 	1.00816630873795	349.7832 	2.18862178011674 	28194 	27643028 	8893509 	7607	0.248 	0.548 	0.202333333333333 	0.00216666666666667 	1.521035 	1.514985 	961 	1296 	115 	117 	1.59621100556048 	1.76726626627526 	1.000 	0.999 	1.000 	 	
swl_02_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	109.8635 	240.1717 	0.31665522889616 	0.692237409493417 	1.00889263838958	350.0352 	2.18609183213715 	33853 	33889961 	8805174 	8199	0.248 	0.547333333333333 	0.201833333333333 	0.00283333333333333 	1.534323 	1.480590 	961 	1311 	117 	117 	1.59621100556048 	1.76327457675322 	1.000 	0.999 	1.000 	 	
swl_02_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	108.1282 	242.4947 	0.311653642211743 	0.698932900686814 	1.01058654289856	350.6229 	2.24265917679199 	37792 	35411221 	9008645 	8600	0.244 	0.553833333333333 	0.2 	0.0025 	1.518290 	1.477374 	972 	1320 	118 	117 	1.59621100556048 	1.81190781000232 	1.000 	0.999 	1.000 	 	
swl_02_20 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	108.8410 	241.2881 	0.313708117512067 	0.695455165140558 	1.00916328265262	350.1291 	2.2168860999072 	35389 	35184593 	9056816 	8394	0.246 	0.549833333333333 	0.2015 	0.00266666666666667 	1.558791 	1.479788 	969 	1320 	119 	116 	1.59621100556048 	1.7879295803654 	1.000 	0.999 	1.000 	 	
swl_02_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	109.1519 	240.9515 	0.314604212308463 	0.694484996248738 	1.0090892085572	350.1034 	2.20748791363229 	38938 	35217212 	8413704 	8961	0.246 	0.549166666666667 	0.201833333333333 	0.00266666666666667 	1.525506 	1.478866 	955 	1301 	117 	116 	1.59621100556048 	1.7802118031833 	1.000 	0.999 	1.000 	 	
swl_04_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	261.7799 	69.5145 	0.754517871312256 	0.200358899080242 	0.954876770392498	331.2944 	3.76583158909292 	646041 	10428 	5190165 	9030	0.595 	0.157 	0.2405 	0.00816666666666667 	1.919412 	1.736593 	663 	657 	112 	112 	2.0171712284808 	1.59616503600744 	1.000 	1.000 	1.000 	 	
swl_04_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	223.1520 	118.9185 	0.643182200081337 	0.342754097925954 	0.985936298007291	342.0705 	1.87651206498568 	829761 	39088 	5256739 	5612	0.5105 	0.268 	0.2185 	0.003 	1.718847 	1.606379 	862 	814 	116 	115 	3.03600805304846 	1.59616503600744 	1.000 	1.000 	1.000 	 	
swl_04_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	174.6992 	174.8062 	0.503528607444475 	0.503837009320366 	1.00736561676484	349.5054 	1.00061248133935 	2225752 	2189608 	6535734 	3971	0.394 	0.394 	0.203 	0.00833333333333333 	1.556783 	1.560139 	1279 	1276 	118 	119 	1.59621100556048 	1.59617525146367 	1.000 	0.999 	1.000 	 	
swl_04_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	166.3185 	184.5861 	0.479373246684896 	0.532025229002804 	1.0113984756877	350.9046 	1.10983504540986 	3528438 	21530520 	6900543 	4789	0.375 	0.424666666666667 	0.197333333333333 	0.00233333333333333 	1.518881 	1.487058 	1326 	1500 	118 	119 	1.59621100556048 	1.80827876917645 	1.000 	0.999 	0.999 	 	
swl_04_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	165.1772 	184.9626 	0.476083722750749 	0.533110400089465 	1.00919412284021	350.1398 	1.11978287560269 	3283309 	24341394 	7155705 	5237	0.373 	0.426666666666667 	0.197333333333333 	0.003 	1.528784 	1.469286 	1341 	1533 	119 	118 	1.59621100556048 	1.82987935137574 	1.000 	0.999 	0.999 	 	
swl_04_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	166.7570 	183.8559 	0.480637117923942 	0.529920602369391 	1.01055772029333	350.6129 	1.10253782449912 	3279165 	24460354 	6794220 	5056	0.376 	0.422833333333333 	0.198 	0.00283333333333333 	1.529666 	1.467026 	1314 	1519 	119 	117 	1.59621100556048 	1.79598957533123 	1.000 	0.999 	0.999 	 	
swl_04_20 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	165.8584 	183.4494 	0.478047118618567 	0.52874896346706 	1.00679608208563	349.3078 	1.10606035027469 	3048562 	24678345 	7050981 	5056	0.374 	0.425 	0.197666666666667 	0.00283333333333333 	1.529180 	1.470239 	1321 	1530 	119 	118 	1.59621100556048 	1.81510780166651 	1.000 	0.999 	0.999 	 	
swl_04_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	167.2082 	184.6287 	0.481937593871622 	0.532148013301056 	1.01408560717268	351.8369 	1.10418448377532 	2929981 	24456593 	7246356 	5960	0.377 	0.4235 	0.196666666666667 	0.002 	1.525564 	1.468256 	1333 	1543 	119 	117 	1.59621100556048 	1.79487609060211 	1.000 	0.999 	0.999 	 	
swl_08_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	283.1833 	59.2594 	0.816208046176119 	0.170801029197587 	0.987009075373707	342.4427 	4.77870683807126 	42822571 	5471 	12884414 	14852	0.646166666666667 	0.134 	0.210666666666667 	0.00916666666666667 	1.547626 	1.553012 	1138 	857 	114 	116 	1.9288505221324 	1.59617014373556 	1.000 	1.000 	1.000 	 	
swl_08_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	239.8391 	110.4583 	0.691278769643686 	0.318369597454849 	1.00964836709854	350.2974 	2.17130899171905 	27572298 	40815 	8667324 	7999	0.5455 	0.249 	0.203 	0.00283333333333333 	1.519218 	1.552031 	1299 	955 	116 	117 	1.74634756577937 	1.59617525146367 	0.999 	1.000 	1.000 	 	
swl_08_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	182.5677 	167.7725 	0.526207674364512 	0.483564053484379 	1.00977172784889	350.3402 	1.08818608532388 	21312219 	3169048 	6744715 	4810	0.420166666666667 	0.379 	0.198 	0.00316666666666667 	1.487060 	1.535610 	1501 	1310 	118 	119 	1.7734696020712 	1.59616503600744 	0.999 	1.000 	0.999 	 	
swl_08_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.0028 	174.9836 	0.504403661739058 	0.504348322337029 	1.00875198407609	349.9864 	1.00010972456847 	21566272 	21496855 	6359841 	4255	0.395 	0.395 	0.197833333333333 	0.0121666666666667 	1.448643 	1.452123 	1553 	1553 	117 	118 	1.59621100556048 	1.59616503600744 	1.000 	1.000 	1.000 	 	
swl_08_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	174.5573 	175.5726 	0.503119614676355 	0.506045973784688 	1.00916558846104	350.1299 	1.00581642818719 	21659734 	23384454 	6483566 	5444	0.394 	0.3965 	0.198833333333333 	0.0106666666666667 	1.451777 	1.451670 	1559 	1577 	118 	117 	1.59621100556048 	1.60914377314822 	1.000 	0.999 	0.999 	 	
swl_08_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	172.7575 	176.8104 	0.497932122188247 	0.509613635859241 	1.00754575804749	349.5679 	1.02346005238557 	21662379 	23949380 	6552521 	5500	0.39 	0.404666666666667 	0.198333333333333 	0.0065 	1.452529 	1.472446 	1551 	1563 	117 	118 	1.59621100556048 	1.66048154843434 	1.000 	0.999 	0.999 	 	
