FWT_CONS 
swl_list 	
swl_01_01 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_01_02 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_01_04 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_01_08 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_01_12 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_01_16 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_01_20 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_01_24 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_02_01 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_02_02 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_02_04 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_02_08 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_02_12 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_02_16 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_02_20 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_02_24 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_04_01 	FWT_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_02 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_04_04 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_04_08 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_04_12 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_04_16 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_04_20 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_04_24 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_08_01 	FWT_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_02 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_08_04 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_08_08 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_08_12 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_08_16 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_08_20 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_08_24 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_12_01 	FWT_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_02 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_12_04 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_12_08 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_12_12 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_12_16 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_12_20 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_12_24 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
swl_16_01 	FWT_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_02 	FWT_CONS 	Fan: 	FWT	CONS	MAX	instructions 	
