BLK 
swl_list 	Benchmarks 	IPC	Stall warps	Stall Dramfull	Stall icnt2sh	INS	RBL 	AVGEMFLat 	AVGEMRQLat 	App1-BW 	Waste-BW 	Idle-BW 	L2-Miss-Rate-1	L2-MPKI	
swl_01 	BLK 	120.3453 	34582 	724 	1042 	195781760 	3.504390 	319 	53 	0.272 	0.229666666666667 	0.498666666666667 	1.000 	1.596 	 	
swl_02 	BLK 	233.5816 	20756 	811 	929 	195781760 	2.970957 	313 	43 	0.527 	0.429666666666667 	0.0431666666666667 	1.000 	1.596 	 	
swl_04 	BLK 	317.7502 	25337 	191985 	1477 	195781760 	2.606796 	532 	121 	0.717 	0.267333333333333 	0.0155 	1.000 	1.596 	 	
swl_08 	BLK 	342.0247 	4721503 	2873986 	2203 	195781760 	1.739246 	1102 	119 	0.772 	0.2125 	0.0155 	1.000 	1.596 	 	
swl_12 	BLK 	346.9112 	8787242 	2780742 	2351 	195781760 	1.530506 	1118 	117 	0.783 	0.200833333333333 	0.016 	1.000 	1.596 	 	
swl_16 	BLK 	344.1978 	9207496 	2678784 	2546 	195781760 	1.514412 	1109 	116 	0.777 	0.200833333333333 	0.0223333333333333 	1.000 	1.596 	 	
swl_20 	BLK 	346.5906 	9209343 	2640224 	2414 	195781760 	1.510902 	1118 	117 	0.782 	0.199166666666667 	0.0181666666666667 	1.000 	1.596 	 	
swl_24 	BLK 	346.9499 	9252959 	2647470 	2487 	195781760 	1.520115 	1115 	116 	0.783 	0.199833333333333 	0.0171666666666667 	1.000 	1.596 	 	



BFS2 
swl_list 	Benchmarks 	IPC	Stall warps	Stall Dramfull	Stall icnt2sh	INS	RBL 	AVGEMFLat 	AVGEMRQLat 	App1-BW 	Waste-BW 	Idle-BW 	L2-Miss-Rate-1	L2-MPKI	
swl_01 	BFS2 	12.7990 	5686 	45490 	1953949 	13371478 	3.287890 	190 	6 	0.034 	0.0725 	0.893333333333333 	0.056 	2.601 	 	
swl_02 	BFS2 	17.2399 	16545 	883421 	3339526 	13371478 	3.449907 	239 	8 	0.0461666666666667 	0.0906666666666667 	0.8635 	0.046 	2.605 	 	
swl_04 	BFS2 	17.8703 	4135848 	2210049 	5138747 	13371478 	3.337103 	331 	11 	0.048 	0.0891666666666667 	0.862833333333333 	0.038 	2.614 	 	
swl_08 	BFS2 	17.1297 	11994395 	2695858 	5904636 	13371478 	2.374642 	372 	13 	0.0631666666666667 	0.145666666666667 	0.791333333333333 	0.048 	3.566 	 	
swl_12 	BFS2 	16.6049 	15430514 	2771767 	6107101 	13371478 	2.112889 	379 	12 	0.113166666666667 	0.226 	0.660833333333333 	0.086 	6.597 	 	
swl_16 	BFS2 	16.5211 	15994580 	2721429 	6099337 	13371478 	2.126478 	380 	13 	0.127166666666667 	0.239666666666667 	0.633166666666667 	0.097 	7.451 	 	
swl_20 	BFS2 	16.4898 	16033400 	2729814 	6109073 	13371478 	2.126446 	381 	12 	0.128333333333333 	0.239333333333333 	0.632333333333333 	0.097 	7.522 	 	
swl_24 	BFS2 	16.4948 	16064756 	2708626 	6084661 	13371478 	2.116733 	381 	12 	0.1295 	0.239833333333333 	0.630666666666667 	0.098 	7.588 	 	



NN 
swl_list 	Benchmarks 	IPC	Stall warps	Stall Dramfull	Stall icnt2sh	INS	RBL 	AVGEMFLat 	AVGEMRQLat 	App1-BW 	Waste-BW 	Idle-BW 	L2-Miss-Rate-1	L2-MPKI	
swl_01 	NN 	10.4635 	999211 	8221 	57805 	78414252 	9.035159 	160 	4 	0.002 	0.003 	0.995 	0.055 	0.139 	 	
swl_02 	NN 	19.7812 	362631 	20270 	80357 	78414252 	10.058692 	162 	6 	0.003 	0.00516666666666667 	0.991 	0.055 	0.139 	 	
swl_04 	NN 	36.1487 	1050310 	64484 	129257 	78414252 	6.529865 	171 	9 	0.006 	0.0106666666666667 	0.984 	0.054 	0.139 	 	
swl_08 	NN 	47.3623 	2545438 	97877 	828857 	78414252 	7.516219 	184 	10 	0.008 	0.013 	0.979833333333333 	0.032 	0.138 	 	
swl_12 	NN 	47.3024 	2798028 	119309 	892245 	78414252 	6.241265 	185 	6 	0.00783333333333333 	0.0131666666666667 	0.979 	0.032 	0.139 	 	
swl_16 	NN 	46.9878 	3012238 	150560 	1006703 	78414252 	5.806154 	193 	5 	0.00716666666666667 	0.014 	0.979 	0.031 	0.138 	 	
swl_20 	NN 	47.1292 	3004550 	144173 	972030 	78414252 	5.646055 	192 	5 	0.00716666666666667 	0.014 	0.9785 	0.031 	0.138 	 	
