Benchmarks 	App1 	App2 	AloneIPC1	AloneIPC2	IPC1	IPC2	SD1	SD2	WS	IT	FI	Stall warps-1	Stall warps-2	Stall Dramfull	Stall icnt2sh	App1-BW 	App2-BW	Waste-BW 	Idle-BW 	RBL-1 	RBL-2 	AVGEMFLat-1 	AVGEMFLat-2 	AVGEMRQLat-1 	AVGEMRQLat-2 	MPKI-1 	MPKI-2 	L2MR-1	L2MR-2	L2MR	
BLK_BLK 	BLK 	BLK 	346.9499	346.9499	112.4412 	112.3089 	0.324084831844598 	0.323703508777492 	0.64778834062209	224.7501 	1.00117800103108 	27801 	22671 	56554 	2424	0.254 	0.253666666666667 	0.371833333333333 	0.121166666666667 	2.349955 	2.065667 	339 	338 	55 	51 	1.59669623973142 	1.59616503600744 	0.999 	1.000 	0.999 	
BLK_BFS2 	BLK 	BFS2 	346.9499	17.8703	113.4405 	12.2835 	0.326965074784573 	0.68736954611842 	1.01433462090299	125.724 	2.10227207468965 	26706 	9815 	217048 	3463183	0.256 	0.049 	0.309166666666667 	0.386 	2.672691 	2.151862 	341 	195 	46 	22 	1.59621100556048 	5.80728622520263 	1.000 	0.076 	0.292 	
BFS2_BFS2 	BFS2 	BFS2 	17.8703	17.8703	11.8078 	11.7639 	0.660749959429892 	0.658293369445393 	1.31904332887528	23.5717 	1.00373175562526 	5115 	5057 	1186045 	3797247	0.0378333333333333 	0.0378333333333333 	0.2035 	0.721333333333333 	2.025310 	1.976045 	227 	227 	8 	8 	3.05762758612025 	3.08193305182868 	0.066 	0.067 	0.067 	
NN_NN 	NN 	NN 	47.3623	47.3623	9.9529 	9.9445 	0.210143933043792 	0.20996657679209 	0.420110509835882	19.8974 	1.0008446880185 	670706 	607319 	22701 	99493	0.015 	0.015 	0.0706666666666667 	0.900166666666667 	3.894128 	4.154323 	222 	222 	1 	1 	1.42764863713806 	1.43110464153889 	0.567 	0.571 	0.569 	
NN_RAY 	NN 	RAY 	47.3623	327.5432	9.7873 	67.7722 	0.206647481224518 	0.206910722005525 	0.413558203230043	77.5595 	1.00127386397089 	444502 	1056585 	218507 	104445	0.015 	0.0988333333333333 	0.136666666666667 	0.749166666666667 	1.577578 	2.363656 	234 	264 	31 	59 	1.52147251078538 	0.807405907904999 	0.550 	0.305 	0.339 	
RAY_RAY 	RAY 	RAY 	327.5432	327.5432	64.0306 	63.3968 	0.195487496000528 	0.193552484069277 	0.389039980069805	127.4274 	1.00999735002398 	232883 	245595 	235487 	15687	0.1015 	0.0991666666666667 	0.152166666666667 	0.647166666666667 	2.156581 	2.473066 	340 	340 	75 	72 	0.82498162807776 	0.80465701108033 	0.334 	0.330 	0.332 	
JPEG_JPEG 	JPEG 	JPEG 	330.8018	330.8018	57.5533 	57.3205 	0.173981217756373 	0.173277473097184 	0.347258690853556	114.8738 	1.00406137420295 	1602 	1732 	2797 	2392	0.063 	0.063 	0.3975 	0.477166666666667 	1.635381 	2.165477 	214 	217 	15 	3 	1.08489329680736 	1.08225108225108 	0.493 	0.492 	0.492 	
JPEG_LPS 	JPEG 	LPS 	330.8018	409.9577	57.6962 	45.7427 	0.174413198477155 	0.11157907267018 	0.285992271147335	103.4389 	1.56313540078172 	16079 	85760 	19299 	21145	0.063 	0.107166666666667 	0.410166666666667 	0.418833333333333 	2.750906 	2.777909 	211 	262 	9 	24 	1.09293003274937 	1.80874495322241 	0.493 	0.737 	0.608 	
LPS_LPS 	LPS 	LPS 	409.9577	409.9577	46.2045 	46.1643 	0.112705530351058 	0.112607471453762 	0.22531300180482	92.3688 	1.00087080276317 	85680 	85665 	1810 	23470	0.109 	0.109 	0.359833333333333 	0.421666666666667 	2.863216 	2.904361 	261 	261 	22 	23 	1.82634871197698 	1.82453332435542 	0.744 	0.743 	0.744 	
BLK_NN 	BLK 	NN 	346.9499	47.3623	119.9422 	9.7861 	0.345704668022674 	0.206622144617132 	0.552326812639806	129.7283 	1.67312496278296 	161215 	424099 	18606 	52336	0.271 	0.016 	0.248 	0.465333333333333 	3.301841 	1.821143 	317 	244 	49 	9 	1.96124756463523 	1.58855050992516 	1.000 	0.634 	0.958 	
