Benchmarks 	App1 	App2 	AloneIPC1	AloneIPC2	IPC1	IPC2	SD1	SD2	WS	IT	FI	App1-BW 	App2-BW	Waste-BW 	Idle-BW 	L2MR-1	L2MR-2	L2MR	RBL-1 	RBL-2 	MPKI-1 	MPKI-2 	
BLK_BLK 	BLK 	BLK 	120.3453	120.3453	112.4412 	112.3089 	0.934321489912776 	0.933222153254012 	1.86754364316679	224.7501 	1.00117800103108 	0.254 	0.253666666666667 	0.371833333333333 	0.121166666666667 	0.999 	1.000 	0.999 	2.349955 	2.065667 	1.59669623973142 	1.59616503600744 	
BLK_BFS2 	BLK 	BFS2 	120.3453	12.7990	113.4405 	12.2835 	0.942625096285439 	0.959723415891867 	1.90234851217731	125.724 	1.01813904560128 	0.256 	0.049 	0.309166666666667 	0.386 	1.000 	0.076 	0.292 	2.672691 	2.151862 	1.59621100556048 	5.80728622520263 	
BFS2_BFS2 	BFS2 	BFS2 	12.7990	12.7990	11.8078 	11.7639 	0.922556449722635 	0.919126494257364 	1.84168294398	23.5717 	1.00373175562526 	0.0378333333333333 	0.0378333333333333 	0.2035 	0.721333333333333 	0.066 	0.067 	0.067 	2.025310 	1.976045 	3.05762758612025 	3.08193305182868 	
NN_NN 	NN 	NN 	10.4635	10.4635	9.9529 	9.9445 	0.951201796721938 	0.950399006068715 	1.90160080279065	19.8974 	1.0008446880185 	0.015 	0.015 	0.0706666666666667 	0.900166666666667 	0.567 	0.571 	0.569 	3.894128 	4.154323 	1.42764863713806 	1.43110464153889 	
NN_RAY 	NN 	RAY 	10.4635	65.2978	9.7873 	67.7722 	0.93537535241554 	1.03789407912671 	1.97326943154225	77.5595 	1.10960169780658 	0.015 	0.0988333333333333 	0.136666666666667 	0.749166666666667 	0.550 	0.305 	0.339 	1.577578 	2.363656 	1.52147251078538 	0.807405907904999 	
RAY_RAY 	RAY 	RAY 	65.2978	65.2978	64.0306 	63.3968 	0.980593526887583 	0.970887227441047 	1.95148075432863	127.4274 	1.00999735002398 	0.1015 	0.0991666666666667 	0.152166666666667 	0.647166666666667 	0.334 	0.330 	0.332 	2.156581 	2.473066 	0.82498162807776 	0.80465701108033 	
JPEG_JPEG 	JPEG 	JPEG 	58.6858	58.6858	57.5533 	57.3205 	0.980702316403627 	0.976735428331896 	1.95743774473552	114.8738 	1.00406137420295 	0.063 	0.063 	0.3975 	0.477166666666667 	0.493 	0.492 	0.492 	1.635381 	2.165477 	1.08489329680736 	1.08225108225108 	
JPEG_LPS 	JPEG 	LPS 	58.6858	55.8795	57.6962 	45.7427 	0.983137317715699 	0.818595370395225 	1.80173268811093	103.4389 	1.20100522586761 	0.063 	0.107166666666667 	0.410166666666667 	0.418833333333333 	0.493 	0.737 	0.608 	2.750906 	2.777909 	1.09293003274937 	1.80874495322241 	
LPS_LPS 	LPS 	LPS 	55.8795	55.8795	46.2045 	46.1643 	0.826859581778649 	0.82614017663007 	1.65299975840872	92.3688 	1.00087080276317 	0.109 	0.109 	0.359833333333333 	0.421666666666667 	0.744 	0.743 	0.744 	2.863216 	2.904361 	1.82634871197698 	1.82453332435542 	
BLK_NN 	BLK 	NN 	120.3453	10.4635	119.9422 	9.7861 	0.996650471601301 	0.935260668036508 	1.93191113963781	129.7283 	1.06563924439769 	0.271 	0.016 	0.248 	0.465333333333333 	1.000 	0.634 	0.958 	3.301841 	1.821143 	1.96124756463523 	1.58855050992516 	
