Benchmarks 	App1 	App2 	AloneIPC1	AloneIPC2	IPC1	IPC2	SD1	SD2	WS	IT	FI	App1-BW 	App2-BW	Waste-BW 	Idle-BW 	L2MR-1	L2MR-2	L2MR	RBL-1 	RBL-2 	MPKI-1 	MPKI-2 	
BLK_BLK 	BLK 	BLK 	346.9499	346.9499	112.4412 	112.3089 	0.324084831844598 	0.323703508777492 	0.64778834062209	224.7501 	1.00117800103108 	0.254 	0.253666666666667 	0.371833333333333 	0.121166666666667 	0.999 	1.000 	0.999 	2.349955 	2.065667 	1.59669623973142 	1.59616503600744 	
BLK_BFS2 	BLK 	BFS2 	346.9499	16.4948	113.4405 	12.2835 	0.326965074784573 	0.744689235395397 	1.07165431017997	125.724 	2.2775803681358 	0.256 	0.049 	0.309166666666667 	0.386 	1.000 	0.076 	0.292 	2.672691 	2.151862 	1.59621100556048 	5.80728622520263 	
BFS2_BFS2 	BFS2 	BFS2 	16.4948	16.4948	11.8078 	11.7639 	0.71584984358707 	0.713188398768096 	1.42903824235517	23.5717 	1.00373175562526 	0.0378333333333333 	0.0378333333333333 	0.2035 	0.721333333333333 	0.066 	0.067 	0.067 	2.025310 	1.976045 	3.05762758612025 	3.08193305182868 	
NN_NN 	NN 	NN 	46.8560	46.8560	9.9529 	9.9445 	0.212414632064197 	0.21223535939901 	0.424649991463206	19.8974 	1.0008446880185 	0.015 	0.015 	0.0706666666666667 	0.900166666666667 	0.567 	0.571 	0.569 	3.894128 	4.154323 	1.42764863713806 	1.43110464153889 	
NN_RAY 	NN 	RAY 	46.8560	327.5432	9.7873 	67.7722 	0.20888039952194 	0.206910722005525 	0.415791121527464	77.5595 	1.00951945601138 	0.015 	0.0988333333333333 	0.136666666666667 	0.749166666666667 	0.550 	0.305 	0.339 	1.577578 	2.363656 	1.52147251078538 	0.807405907904999 	
RAY_RAY 	RAY 	RAY 	327.5432	327.5432	64.0306 	63.3968 	0.195487496000528 	0.193552484069277 	0.389039980069805	127.4274 	1.00999735002398 	0.1015 	0.0991666666666667 	0.152166666666667 	0.647166666666667 	0.334 	0.330 	0.332 	2.156581 	2.473066 	0.82498162807776 	0.80465701108033 	
JPEG_JPEG 	JPEG 	JPEG 	320.9008	320.9008	57.5533 	57.3205 	0.179349194517433 	0.178623736681242 	0.357972931198676	114.8738 	1.00406137420295 	0.063 	0.063 	0.3975 	0.477166666666667 	0.493 	0.492 	0.492 	1.635381 	2.165477 	1.08489329680736 	1.08225108225108 	
JPEG_LPS 	JPEG 	LPS 	320.9008	409.9577	57.6962 	45.7427 	0.179794503472724 	0.11157907267018 	0.291373576142905	103.4389 	1.61136402346866 	0.063 	0.107166666666667 	0.410166666666667 	0.418833333333333 	0.493 	0.737 	0.608 	2.750906 	2.777909 	1.09293003274937 	1.80874495322241 	
LPS_LPS 	LPS 	LPS 	409.9577	409.9577	46.2045 	46.1643 	0.112705530351058 	0.112607471453762 	0.22531300180482	92.3688 	1.00087080276317 	0.109 	0.109 	0.359833333333333 	0.421666666666667 	0.744 	0.743 	0.744 	2.863216 	2.904361 	1.82634871197698 	1.82453332435542 	
BLK_NN 	BLK 	NN 	346.9499	46.8560	119.9422 	9.7861 	0.345704668022674 	0.208854789141199 	0.554559457163873	129.7283 	1.65523936244984 	0.271 	0.016 	0.248 	0.465333333333333 	1.000 	0.634 	0.958 	3.301841 	1.821143 	1.96124756463523 	1.58855050992516 	
BLK_RAY 	BLK 	RAY 	346.9499	327.5432	107.3820 	66.6206 	0.309502899409972 	0.203394849900715 	0.512897749310688	174.0026 	1.5216850355899 	0.242 	0.112333333333333 	0.312833333333333 	0.3325 	1.000 	0.350 	0.679 	2.132571 	2.330717 	1.59621100556048 	1.70304017982149 	
BFS2_NN 	BFS2 	NN 	16.4948	46.8560	12.8406 	9.7737 	0.778463515774668 	0.208590148540208 	0.987053664314877	22.6143 	3.73202436079866 	0.035 	0.015 	0.132666666666667 	0.816666666666667 	0.057 	0.609 	0.079 	2.194837 	2.344581 	2.95861085812653 	1.52389389622693 	
BFS2_RAY 	BFS2 	RAY 	16.4948	327.5432	12.3924 	62.9621 	0.751291316051119 	0.192225330887651 	0.94351664693877	75.3545 	3.90838872578257 	0.0366666666666667 	0.1 	0.177833333333333 	0.685333333333333 	0.062 	0.329 	0.119 	1.775398 	2.475280 	2.85420953465279 	0.883993212279872 	
BLK_JPEG 	BLK 	JPEG 	346.9499	320.9008	112.1069 	55.1124 	0.323121292151979 	0.171742794034792 	0.494864086186771	167.2193 	1.88142561653283 	0.253 	0.0605 	0.320333333333333 	0.366 	1.000 	0.494 	0.796 	2.747208 	3.692810 	1.59621100556048 	1.15158719589872 	
BLK_LPS 	BLK 	LPS 	346.9499	409.9577	115.6475 	44.5167 	0.333326223757378 	0.108588520230258 	0.441914743987636	160.1642 	3.06962672527973 	0.261 	0.1045 	0.340666666666667 	0.293833333333333 	1.000 	0.726 	0.897 	2.939153 	2.571368 	1.59620589783236 	1.87210473180233 	
BFS2_JPEG 	BFS2 	JPEG 	16.4948	320.9008	12.6345 	55.7553 	0.765968668913839 	0.173746216899428 	0.939714885813268	68.3898 	4.40854875912041 	0.0366666666666667 	0.0613333333333333 	0.318166666666667 	0.583666666666667 	0.061 	0.494 	0.137 	1.944483 	3.932394 	2.7975217100159 	1.21604150360428 	
BFS2_LPS 	BFS2 	LPS 	16.4948	409.9577	12.7133 	44.6960 	0.770745932051313 	0.109025882426406 	0.87977181447772	57.4093 	7.06938494693289 	0.0373333333333333 	0.105 	0.3015 	0.556 	0.060 	0.737 	0.164 	2.055023 	2.850363 	4.36728086453868 	1.81025777624038 	
NN_JPEG 	NN 	JPEG 	46.8560	320.9008	9.8386 	58.8261 	0.209975243298617 	0.183315529285063 	0.39329077258368	68.6647 	1.14543074510669 	0.015 	0.0643333333333333 	0.293333333333333 	0.626666666666667 	0.614 	0.494 	0.513 	3.032055 	6.248842 	1.53507808759051 	1.10144178977827 	
NN_LPS 	NN 	LPS 	46.8560	409.9577	9.8504 	46.5974 	0.210227078709237 	0.113663921911944 	0.32389100062118	56.4478 	1.84954975310549 	0.016 	0.109 	0.274166666666667 	0.601666666666667 	0.623 	0.723 	0.706 	1.732918 	2.976648 	1.55963994912557 	1.82661551894561 	
RAY_JPEG 	RAY 	JPEG 	327.5432	320.9008	67.6660 	54.6841 	0.206586489965293 	0.170408113660047 	0.37699460362534	122.3501 	1.21230430598756 	0.106666666666667 	0.06 	0.299 	0.534166666666667 	0.331 	0.494 	0.400 	2.045938 	3.336337 	0.808278430278459 	1.21491227143083 	
RAY_LPS 	RAY 	LPS 	327.5432	409.9577	68.2578 	44.7881 	0.208393274536 	0.109250539750808 	0.317643814286809	113.0459 	1.90748050317489 	0.1055 	0.104833333333333 	0.294333333333333 	0.495166666666667 	0.320 	0.736 	0.484 	2.185103 	2.632744 	1.40259001348508 	1.8069570714739 	
